date,time,home_team,home_team_number,away_team,away_team_number,goal_team,goal_time,result_home_team,result_away_team,valid_goal,season,day,match_id
2023/08/20,13:30:00,RSC Anderlecht,35,KVCWes,None,RSC Anderlecht,72',2,0,True,2023,4,4098775
2023/08/20,13:30:00,RSC Anderlecht,35,KVCWes,None,KVCWes,81',2,1,True,2023,4,4098775
2023/08/20,16:00:00,KAA Gent,7,STVV,None,STVV,7',0,1,True,2023,4,4098776
2023/08/20,16:00:00,KAA Gent,7,STVV,None,STVV,13',0,2,True,2023,4,4098776
2023/08/20,16:00:00,KAA Gent,7,STVV,None,KAA Gent,35',1,2,True,2023,4,4098776
2023/08/20,16:00:00,KAA Gent,7,STVV,None,KAA Gent,58',2,2,True,2023,4,4098776
2023/08/20,18:30:00,Club Brugge,3,RWDM,47,Club Brugge,15',1,0,True,2023,4,4098777
2023/08/20,18:30:00,Club Brugge,3,RWDM,47,RWDM,17',1,1,True,2023,4,4098777
2023/08/20,18:30:00,Club Brugge,3,RWDM,47,Club Brugge,19',2,1,True,2023,4,4098777
2023/08/20,18:30:00,Club Brugge,3,RWDM,47,Club Brugge,52',3,1,True,2023,4,4098777
2023/08/20,18:30:00,Club Brugge,3,RWDM,47,Club Brugge,62',4,1,True,2023,4,4098777
2023/08/20,18:30:00,Club Brugge,3,RWDM,47,Club Brugge,74',5,1,True,2023,4,4098777
2023/08/20,18:30:00,Club Brugge,3,RWDM,47,Club Brugge,78',6,1,True,2023,4,4098777
2023/08/20,18:30:00,Club Brugge,3,RWDM,47,Club Brugge,90+2',7,1,True,2023,4,4098777
2023/08/20,19:15:00,KV Kortrijk,19,Eupen,92,Eupen,56',0,1,True,2023,4,4098778
2023/08/20,19:15:00,KV Kortrijk,19,Eupen,92,Eupen,60',0,2,True,2023,4,4098778
2023/08/20,19:15:00,KV Kortrijk,19,Eupen,92,KV Kortrijk,66',1,2,True,2023,4,4098778
2023/08/20,19:15:00,KV Kortrijk,19,Eupen,92,KV Kortrijk,90+9',1,2,False,2023,4,4098778
2023/08/20,19:15:00,KV Kortrijk,19,Eupen,92,Eupen,90+11',1,3,True,2023,4,4098778
2023/08/26,16:00:00,KVC Westerlo,867,KVM,None,KVC Westerlo,20',1,0,True,2023,5,4098792
2023/08/26,16:00:00,KVC Westerlo,867,KVM,None,KVC Westerlo,28',2,0,True,2023,5,4098792
2023/08/26,16:00:00,KVC Westerlo,867,KVM,None,KVM,75',2,1,True,2023,5,4098792
2023/08/26,16:00:00,KVC Westerlo,867,KVM,None,KVM,77',2,2,True,2023,5,4098792
2023/08/26,16:00:00,KVC Westerlo,867,KVM,None,KVM,85',2,3,True,2023,5,4098792
2023/08/26,18:15:00,KAS Eupen,1792,OHL,None,KAS Eupen,24',1,0,True,2023,5,4098789
2023/08/26,18:15:00,KAS Eupen,1792,OHL,None,KAS Eupen,50',2,0,True,2023,5,4098789
2023/08/26,18:15:00,KAS Eupen,1792,OHL,None,OHL,81',2,1,True,2023,5,4098789
2023/08/26,18:15:00,KAS Eupen,1792,OHL,None,KAS Eupen,87',3,1,True,2023,5,4098789
2023/08/26,20:45:00,KV Kortrijk,19,SL,231,KV Kortrijk,24',1,0,True,2023,5,4098790
2023/08/26,20:45:00,KV Kortrijk,19,SL,231,SL,73',1,1,True,2023,5,4098790
2023/08/27,16:00:00,St-Truidense VV,322,Cercle,12,Cercle,64',0,1,True,2023,5,4098788
2023/08/27,16:00:00,St-Truidense VV,322,Cercle,12,Cercle,69',0,2,True,2023,5,4098788
2023/08/27,18:30:00,RSC Anderlecht,35,RCSC,None,RSC Anderlecht,34',1,0,True,2023,5,4098793
2023/08/27,18:30:00,RSC Anderlecht,35,RCSC,None,RCSC,76',1,1,True,2023,5,4098793
2023/08/27,18:30:00,RSC Anderlecht,35,RCSC,None,RSC Anderlecht,78',2,1,True,2023,5,4098793
2023/09/28,18:30:00,RWDM,47,RUSG,None,RUSG,13',0,1,True,2023,5,4098794
2023/09/28,18:30:00,RWDM,47,RUSG,None,RUSG,32',0,2,True,2023,5,4098794
2023/09/28,18:30:00,RWDM,47,RUSG,None,RWDM,43',1,2,True,2023,5,4098794
2023/09/28,18:30:00,RWDM,47,RUSG,None,RWDM,45+1',2,2,True,2023,5,4098794
2023/09/28,18:30:00,RWDM,47,RUSG,None,RUSG,90+6',2,3,True,2023,5,4098794
2023/09/28,20:45:00,Club Brugge,3,Genk,290,Genk,45+1',0,1,True,2023,5,4098791
2023/09/28,20:45:00,Club Brugge,3,Genk,290,Club Brugge,67',1,1,True,2023,5,4098791
2022/07/22,20:45:00,Standard Luik,16,Gent,7,Standard Luik,15',,,False,2022,1,3848868
2022/07/22,20:45:00,Standard Luik,16,Gent,7,Standard Luik,34',1,0,True,2022,1,3848868
2022/07/22,20:45:00,Standard Luik,16,Gent,7,Gent,60',1,1,True,2022,1,3848868
2022/07/22,20:45:00,Standard Luik,16,Gent,7,Gent,79',1,2,True,2022,1,3848868
2022/07/22,20:45:00,Standard Luik,16,Gent,7,Standard Luik,89',2,2,True,2022,1,3848868
2022/07/23,16:00:00,R Charleroi SC,29,Eupen,92,R Charleroi SC,18',1,0,True,2022,1,3848869
2022/07/23,16:00:00,R Charleroi SC,29,Eupen,92,R Charleroi SC,51',2,0,True,2022,1,3848869
2022/07/23,16:00:00,R Charleroi SC,29,Eupen,92,Eupen,76',2,1,True,2022,1,3848869
2022/07/23,16:00:00,R Charleroi SC,29,Eupen,92,R Charleroi SC,90+4',3,1,True,2022,1,3848869
2022/07/23,18:15:00,KV Kortrijk,19,OHL,None,OHL,72',0,1,True,2022,1,3848870
2022/07/23,18:15:00,KV Kortrijk,19,OHL,None,OHL,90+3',0,2,True,2022,1,3848870
2022/07/23,18:15:00,Zulte Waregem,2159,RFC S,167,Zulte Waregem,74',1,0,True,2022,1,3848871
2022/07/23,18:15:00,Zulte Waregem,2159,RFC S,167,Zulte Waregem,87',2,0,True,2022,1,3848871
2022/07/23,20:45:00,St-Truidense VV,322,RUSG,None,St-Truidense VV,22',1,0,True,2022,1,3848872
2022/07/23,20:45:00,St-Truidense VV,322,RUSG,None,RUSG,71',1,1,True,2022,1,3848872
2022/07/24,13:30:00,Club Brugge,3,Genk,290,Club Brugge,22',1,0,True,2022,1,3848873
2022/07/24,13:30:00,Club Brugge,3,Genk,290,Genk,30',1,1,True,2022,1,3848873
2022/07/24,13:30:00,Club Brugge,3,Genk,290,Genk,47',1,2,True,2022,1,3848873
2022/07/24,13:30:00,Club Brugge,3,Genk,290,Club Brugge,60',2,2,True,2022,1,3848873
2022/07/24,13:30:00,Club Brugge,3,Genk,290,Club Brugge,90+2',3,2,True,2022,1,3848873
2022/07/24,13:30:00,Club Brugge,3,Genk,290,Club Brugge,90+2',3,2,False,2022,1,3848873
2022/07/24,16:00:00,KV Mechelen,25,RAFC,2449,RAFC,31',0,1,True,2022,1,3848874
2022/07/24,16:00:00,KV Mechelen,25,RAFC,2449,RAFC,35',0,2,True,2022,1,3848874
2022/07/24,18:30:00,RSC Anderlecht,35,KVO,362,RSC Anderlecht,39',1,0,True,2022,1,3848875
2022/07/24,18:30:00,RSC Anderlecht,35,KVO,362,RSC Anderlecht,88',2,0,True,2022,1,3848875
2022/07/24,18:30:00,RSC Anderlecht,35,KVO,362,KVO,90+2',2,0,False,2022,1,3848875
2022/07/24,21:00:00,KVC Westerlo,867,Cercle,12,Cercle,31',2,0,False,2022,1,3848876
2022/07/24,21:00:00,KVC Westerlo,867,Cercle,12,KVC Westerlo,40',1,0,True,2022,1,3848876
2022/07/24,21:00:00,KVC Westerlo,867,Cercle,12,KVC Westerlo,90+5',2,0,True,2022,1,3848876
2022/07/29,20:45:00,Union SG,9,RCSC,None,Union SG,56',1,0,True,2022,2,3851083
2022/07/30,16:00:00,Cercle Brugge,12,RSCA,None,RSCA,34',1,0,False,2022,2,3851084
2022/07/30,16:00:00,Cercle Brugge,12,RSCA,None,Cercle Brugge,75',1,0,True,2022,2,3851084
2022/07/30,18:15:00,KV Oostende,31,KVM,None,KV Oostende,17',1,0,True,2022,2,3851085
2022/07/30,18:15:00,KV Oostende,31,KVM,None,KV Oostende,43',2,0,True,2022,2,3851085
2022/07/30,18:15:00,KV Oostende,31,KVM,None,KV Oostende,55',2,0,False,2022,2,3851085
2022/07/30,18:15:00,KV Oostende,31,KVM,None,KVM,75',2,1,True,2022,2,3851085
2022/07/30,18:15:00,OH Leuven,2495,KVCWes,None,OH Leuven,13',1,0,True,2022,2,3851086
2022/07/30,18:15:00,OH Leuven,2495,KVCWes,None,KVCWes,74',1,0,False,2022,2,3851086
2022/07/30,18:15:00,OH Leuven,2495,KVCWes,None,OH Leuven,77',2,0,True,2022,2,3851086
2022/07/30,20:45:00,KAA Gent,7,STVV,None,KAA Gent,12',1,0,True,2022,2,3851087
2022/07/30,20:45:00,KAA Gent,7,STVV,None,STVV,83',1,1,True,2022,2,3851087
2022/07/31,13:30:00,KRC Genk,290,SL,231,KRC Genk,5',1,0,True,2022,2,3851088
2022/07/31,13:30:00,KRC Genk,290,SL,231,KRC Genk,16',2,0,True,2022,2,3851088
2022/07/31,13:30:00,KRC Genk,290,SL,231,SL,24',2,1,True,2022,2,3851088
2022/07/31,13:30:00,KRC Genk,290,SL,231,KRC Genk,29',3,1,True,2022,2,3851088
2022/07/31,16:00:00,KAS Eupen,1792,FCB,253,KAS Eupen,1',1,0,True,2022,2,3851089
2022/07/31,16:00:00,KAS Eupen,1792,FCB,253,FCB,7',1,1,True,2022,2,3851089
2022/07/31,16:00:00,KAS Eupen,1792,FCB,253,KAS Eupen,19',2,1,True,2022,2,3851089
2022/07/31,16:00:00,KAS Eupen,1792,FCB,253,KAS Eupen,68',2,1,False,2022,2,3851089
2022/07/31,18:30:00,RFC Seraing,167,KVK,100,RFC Seraing,20',2,1,False,2022,2,3851090
2022/07/31,18:30:00,RFC Seraing,167,KVK,100,KVK,26',2,1,False,2022,2,3851090
2022/07/31,18:30:00,RFC Seraing,167,KVK,100,KVK,58',0,1,True,2022,2,3851090
2022/07/31,18:30:00,RFC Seraing,167,KVK,100,RFC Seraing,87',0,1,False,2022,2,3851090
2022/07/31,21:00:00,Antwerp FC,1,Zulte,622,Antwerp FC,68',1,0,True,2022,2,3851091
2022/07/31,21:00:00,Antwerp FC,1,Zulte,622,Zulte,75',1,0,False,2022,2,3851091
2022/08/05,20:45:00,Club Brugge,3,Zulte,622,Club Brugge,47',1,0,True,2022,3,3851065
2022/08/05,20:45:00,Club Brugge,3,Zulte,622,Zulte,69',1,1,True,2022,3,3851065
2022/08/06,16:00:00,KRC Genk,290,Eupen,92,KRC Genk,3',1,0,True,2022,3,3851066
2022/08/06,16:00:00,KRC Genk,290,Eupen,92,KRC Genk,8',2,0,True,2022,3,3851066
2022/08/06,16:00:00,KRC Genk,290,Eupen,92,Eupen,32',2,1,True,2022,3,3851066
2022/08/06,16:00:00,KRC Genk,290,Eupen,92,KRC Genk,37',3,1,True,2022,3,3851066
2022/08/06,16:00:00,KRC Genk,290,Eupen,92,Eupen,59',3,2,True,2022,3,3851066
2022/08/06,16:00:00,KRC Genk,290,Eupen,92,Eupen,83',3,2,False,2022,3,3851066
2022/08/06,16:00:00,KRC Genk,290,Eupen,92,KRC Genk,90+2',4,2,True,2022,3,3851066
2022/08/06,18:15:00,R Charleroi SC,29,KVO,362,KVO,28',0,1,True,2022,3,3851068
2022/08/06,18:15:00,R Charleroi SC,29,KVO,362,R Charleroi SC,55',1,1,True,2022,3,3851068
2022/08/06,18:15:00,R Charleroi SC,29,KVO,362,KVO,66',1,2,True,2022,3,3851068
2022/08/06,18:15:00,R Charleroi SC,29,KVO,362,KVO,90+6',1,3,True,2022,3,3851068
2022/08/06,20:45:00,KV Mechelen,25,RUSG,None,KV Mechelen,44',1,0,True,2022,3,3851069
2022/08/06,20:45:00,KV Mechelen,25,RUSG,None,KV Mechelen,51',2,0,True,2022,3,3851069
2022/08/06,20:45:00,KV Mechelen,25,RUSG,None,KV Mechelen,59',3,0,True,2022,3,3851069
2022/08/07,13:30:00,Standard Luik,16,Cercle,12,Standard Luik,31',1,0,True,2022,3,3851070
2022/08/07,13:30:00,Standard Luik,16,Cercle,12,Standard Luik,45+5',2,0,True,2022,3,3851070
2022/08/07,16:00:00,KAA Gent,7,KVCWes,None,KVCWes,5',0,1,True,2022,3,3851071
2022/08/07,16:00:00,KAA Gent,7,KVCWes,None,KAA Gent,37',1,1,True,2022,3,3851071
2022/08/07,16:00:00,KAA Gent,7,KVCWes,None,KAA Gent,45+3',2,1,True,2022,3,3851071
2022/08/07,18:30:00,RSC Anderlecht,35,RFC S,167,RSC Anderlecht,4',1,0,True,2022,3,3851072
2022/08/07,18:30:00,RSC Anderlecht,35,RFC S,167,RSC Anderlecht,16',2,0,True,2022,3,3851072
2022/08/07,18:30:00,RSC Anderlecht,35,RFC S,167,RSC Anderlecht,30',3,0,True,2022,3,3851072
2022/08/07,18:30:00,RSC Anderlecht,35,RFC S,167,RFC S,57',3,1,True,2022,3,3851072
2022/08/07,21:00:00,Antwerp FC,1,OHL,None,OHL,27',0,1,True,2022,3,3851073
2022/08/07,21:00:00,Antwerp FC,1,OHL,None,Antwerp FC,38',1,1,True,2022,3,3851073
2022/08/07,21:00:00,Antwerp FC,1,OHL,None,Antwerp FC,40',2,1,True,2022,3,3851073
2022/08/07,21:00:00,Antwerp FC,1,OHL,None,OHL,55',2,2,True,2022,3,3851073
2022/08/07,21:00:00,Antwerp FC,1,OHL,None,Antwerp FC,71',3,2,True,2022,3,3851073
2022/08/07,21:00:00,Antwerp FC,1,OHL,None,Antwerp FC,82',4,2,True,2022,3,3851073
2022/08/12,20:45:00,KV Oostende,31,Gent,7,KV Oostende,13',1,0,True,2022,4,3851074
2022/08/12,20:45:00,KV Oostende,31,Gent,7,Gent,24',1,1,True,2022,4,3851074
2022/08/12,20:45:00,KV Oostende,31,Gent,7,Gent,29',1,2,True,2022,4,3851074
2022/08/12,20:45:00,KV Oostende,31,Gent,7,Gent,60',1,3,True,2022,4,3851074
2022/08/13,16:00:00,KVC Westerlo,867,SL,231,KVC Westerlo,38',1,0,True,2022,4,3851075
2022/08/13,16:00:00,KVC Westerlo,867,SL,231,KVC Westerlo,50',2,0,True,2022,4,3851075
2022/08/13,16:00:00,KVC Westerlo,867,SL,231,SL,63',2,1,True,2022,4,3851075
2022/08/13,16:00:00,KVC Westerlo,867,SL,231,KVC Westerlo,73',3,1,True,2022,4,3851075
2022/08/13,16:00:00,KVC Westerlo,867,SL,231,SL,90',3,2,True,2022,4,3851075
2022/08/13,16:00:00,KVC Westerlo,867,SL,231,KVC Westerlo,90+1',4,2,True,2022,4,3851075
2022/08/13,16:00:00,KVC Westerlo,867,SL,231,SL,90+6',4,2,False,2022,4,3851075
2022/08/13,18:15:00,RFC Seraing,167,RCSC,None,RCSC,85',0,1,True,2022,4,3851077
2022/08/13,20:45:00,Union SG,9,KVK,100,Union SG,9',1,0,True,2022,4,3851078
2022/08/13,20:45:00,Union SG,9,KVK,100,Union SG,58',2,0,True,2022,4,3851078
2022/08/13,20:45:00,Union SG,9,KVK,100,KVK,63',2,1,True,2022,4,3851078
2022/08/14,13:30:00,St-Truidense VV,322,RSCA,None,RSCA,43',0,1,True,2022,4,3851079
2022/08/14,13:30:00,St-Truidense VV,322,RSCA,None,RSCA,45+5',0,2,True,2022,4,3851079
2022/08/14,13:30:00,St-Truidense VV,322,RSCA,None,RSCA,74',0,3,True,2022,4,3851079
2022/08/14,16:00:00,KAS Eupen,1792,RAFC,2449,RAFC,78',0,1,True,2022,4,3851080
2022/08/14,18:30:00,OH Leuven,2495,FCB,253,FCB,33',0,1,True,2022,4,3851081
2022/08/14,18:30:00,OH Leuven,2495,FCB,253,FCB,42',0,2,True,2022,4,3851081
2022/08/14,18:30:00,OH Leuven,2495,FCB,253,FCB,53',0,3,True,2022,4,3851081
2022/08/14,18:30:00,OH Leuven,2495,FCB,253,FCB,85',0,3,False,2022,4,3851081
2022/08/14,21:00:00,Zulte Waregem,2159,Genk,290,Genk,9',0,1,True,2022,4,3851082
2022/08/14,21:00:00,Zulte Waregem,2159,Genk,290,Genk,25',0,2,True,2022,4,3851082
2022/08/14,21:00:00,Zulte Waregem,2159,Genk,290,Zulte Waregem,43',1,2,True,2022,4,3851082
2022/08/14,21:00:00,Zulte Waregem,2159,Genk,290,Genk,44',1,3,True,2022,4,3851082
2022/08/14,21:00:00,Zulte Waregem,2159,Genk,290,Genk,52',1,4,True,2022,4,3851082
2022/08/19,20:45:00,KAS Eupen,1792,RFC S,167,RFC S,5',0,1,True,2022,5,3851128
2022/08/19,20:45:00,KAS Eupen,1792,RFC S,167,RFC S,36',0,2,True,2022,5,3851128
2022/08/19,20:45:00,KAS Eupen,1792,RFC S,167,RFC S,39',0,3,True,2022,5,3851128
2022/08/19,20:45:00,KAS Eupen,1792,RFC S,167,KAS Eupen,60',1,3,True,2022,5,3851128
2022/08/20,16:00:00,KV Oostende,31,STVV,None,STVV,17',0,1,True,2022,5,3851129
2022/08/20,18:15:00,KRC Genk,290,Cercle,12,KRC Genk,41',1,0,True,2022,5,3851130
2022/08/20,18:15:00,KRC Genk,290,Cercle,12,Cercle,46',1,1,True,2022,5,3851130
2022/08/20,18:15:00,KRC Genk,290,Cercle,12,KRC Genk,57',2,1,True,2022,5,3851130
2022/08/21,13:30:00,Club Brugge,3,KVK,100,Club Brugge,4',1,0,True,2022,5,3851132
2022/08/21,13:30:00,Club Brugge,3,KVK,100,KVK,33',1,1,True,2022,5,3851132
2022/08/21,13:30:00,Club Brugge,3,KVK,100,Club Brugge,45+3',2,1,True,2022,5,3851132
2022/08/21,13:30:00,Club Brugge,3,KVK,100,KVK,89',2,1,False,2022,5,3851132
2022/08/21,16:00:00,Zulte Waregem,2159,RCSC,None,Zulte Waregem,5',1,0,True,2022,5,3851133
2022/08/21,16:00:00,Zulte Waregem,2159,RCSC,None,RCSC,36',1,1,True,2022,5,3851133
2022/08/21,16:00:00,Zulte Waregem,2159,RCSC,None,RCSC,83',1,2,True,2022,5,3851133
2022/08/21,16:00:00,Zulte Waregem,2159,RCSC,None,RCSC,89',1,3,True,2022,5,3851133
2022/08/21,18:30:00,Standard Luik,16,OHL,None,OHL,35',0,1,True,2022,5,3851134
2022/08/21,18:30:00,Standard Luik,16,OHL,None,OHL,45',0,2,True,2022,5,3851134
2022/08/21,18:30:00,Standard Luik,16,OHL,None,OHL,51',0,2,False,2022,5,3851134
2022/08/21,18:30:00,Standard Luik,16,OHL,None,OHL,75',0,3,True,2022,5,3851134
2022/08/21,18:30:00,Standard Luik,16,OHL,None,Standard Luik,90+1',1,3,True,2022,5,3851134
2022/08/21,18:30:00,Standard Luik,16,OHL,None,Standard Luik,90+1',1,3,False,2022,5,3851134
2022/08/21,21:00:00,KV Mechelen,25,KVCWes,None,KVCWes,26',0,1,True,2022,5,3851135
2022/08/21,21:00:00,KV Mechelen,25,KVCWes,None,KV Mechelen,39',1,1,True,2022,5,3851135
2022/08/21,21:00:00,KV Mechelen,25,KVCWes,None,KV Mechelen,48',2,1,True,2022,5,3851135
2022/08/21,21:00:00,KV Mechelen,25,KVCWes,None,KVCWes,60',2,2,True,2022,5,3851135
2022/08/21,21:00:00,KV Mechelen,25,KVCWes,None,KVCWes,63',2,3,True,2022,5,3851135
2022/08/21,21:00:00,KV Mechelen,25,KVCWes,None,KVCWes,73',2,4,True,2022,5,3851135
2022/08/21,21:00:00,KV Mechelen,25,KVCWes,None,KV Mechelen,76',3,4,True,2022,5,3851135
2022/08/21,21:00:00,KV Mechelen,25,KVCWes,None,KV Mechelen,77',4,4,True,2022,5,3851135
2022/08/21,21:00:00,KV Mechelen,25,KVCWes,None,KV Mechelen,85',5,4,True,2022,5,3851135
2022/08/31,20:30:00,Antwerp FC,1,RUSG,None,Antwerp FC,8',1,0,True,2022,5,3851131
